run_id,timestamp,model_name,skill_name,ablation_id,sample_index,code_commit_hash,python_version,mcri_version,model_temperature,repetitions_planned,repetitions_completed,fail_count,pass_rate,avg_exec_time,score_l1_total,score_l1_1_syntax,score_l1_2_runtime,score_l2_total,score_l2_1_contract,score_l2_2_purity,avg_l3_total,avg_l3_1_internal,avg_l3_2_external,avg_l4_total,avg_l4_1_numeric,avg_l4_2_visual,avg_l4_3_artifacts,avg_complexity_math_ops,avg_complexity_inference_steps,avg_complexity_ast_nodes,avg_complexity_loop_depth,score_program_total,score_math_total,score_l5_architecture,avg_l4_4_mqi,avg_mcri_total,source_code_path,notes,batch_id,golden_prompt_path,prompt_hash,prompt_tokens,completion_tokens,total_tokens,latency_ms,healer_applied,healer_fix_count,healer_fixes_basic,healer_fixes_regex,healer_fixes_ast
b6f93b26-cc9c-44fb-b706-02c910d40024,2026-02-23T03:18:23.295302+00:00,gemini-3-flash,jh_數學2上_FourOperationsOfRadicals,3,2,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,13.0,10.0,3.0,26.33,5.0,4.0,5.0,13.0,4.0,4446.0,2.0,50.0,39.33,20.0,4.33,89.33,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學2上_FourOperationsOfRadicals\gen_code\temp_gen_c5730fcc.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 6.88s | Tokens: In=1894, Out=1189 | Fix: [Full Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=2) | Verify: Internal Logic Check = PASSED | GenRun:1",,,,1894,1189,3083,6884,1,2,0,0,2
b4e489ee-4b31-4e2b-864d-5622a13c52f9,2026-02-23T03:18:32.445486+00:00,gemini-3-flash,jh_數學2上_FourOperationsOfRadicals,3,2,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,13.0,10.0,3.0,26.45,5.0,4.0,5.0,13.33,4.0,4341.0,2.0,50.0,39.45,20.0,4.45,89.45,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學2上_FourOperationsOfRadicals\gen_code\temp_gen_2a63fb56.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 6.78s | Tokens: In=1894, Out=1047 | Fix: [Full Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=2) | Verify: Internal Logic Check = PASSED | GenRun:2",,,,1894,1047,2941,6782,1,2,0,0,2
eb936814-03f5-40b5-a2b1-623152174e74,2026-02-23T03:18:41.196360+00:00,gemini-3-flash,jh_數學2上_FourOperationsOfRadicals,3,2,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,13.0,10.0,3.0,25.89,5.0,4.0,5.0,11.67,4.0,4400.0,2.0,50.0,38.89,20.0,3.89,88.89,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學2上_FourOperationsOfRadicals\gen_code\temp_gen_aa0eb4ec.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 6.31s | Tokens: In=1894, Out=1113 | Fix: [Full Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=2) | Verify: Internal Logic Check = PASSED | GenRun:3",,,,1894,1113,3007,6306,1,2,0,0,2
8f863953-46c2-4ae8-87a2-2138237b72c9,2026-02-23T03:18:50.685057+00:00,gemini-3-flash,jh_數學2上_FourOperationsOfRadicals,3,2,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,13.0,10.0,3.0,28.56,5.0,4.0,5.0,13.67,5.0,4418.0,2.0,50.0,41.56,20.0,4.56,91.56,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學2上_FourOperationsOfRadicals\gen_code\temp_gen_44a941b8.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 7.12s | Tokens: In=1894, Out=1222 | Fix: [Full Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=2) | Verify: Internal Logic Check = PASSED | GenRun:4",,,,1894,1222,3116,7120,1,2,0,0,2
7bab9ebb-1a91-4992-ae42-b4a0dd4e3401,2026-02-23T03:18:58.951368+00:00,gemini-3-flash,jh_數學2上_FourOperationsOfRadicals,3,2,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,13.0,10.0,3.0,25.44,5.0,4.0,5.0,12.33,3.67,4380.0,2.0,50.0,38.44,20.0,4.11,88.44,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學2上_FourOperationsOfRadicals\gen_code\temp_gen_73f16043.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 5.80s | Tokens: In=1894, Out=1003 | Fix: [Full Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=2) | Verify: Internal Logic Check = PASSED | GenRun:5",,,,1894,1003,2897,5804,1,2,0,0,2
d37c1803-eda0-4fe1-90c1-5b69b87f78f9,2026-02-23T11:34:09.417249,gemini-3-flash,jh_數學2上_FourOperationsOfRadicals,1,3,,,,0,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Exception: AI request timed out after 300 seconds,,,,0,0,0,0,0,0,0,0,0
9099e839-ec31-465a-9ab0-5919493b7f83,2026-02-23T03:35:16.673079+00:00,gemini-3-flash,jh_數學2上_FourOperationsOfRadicals,1,3,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,13.0,5.5,7.5,15.0,7.5,7.5,15.33,10.0,5.33,25.11,5.0,4.0,5.0,16.0,4.0,1029.0,2.0,38.5,40.44,10.5,4.44,78.94,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學2上_FourOperationsOfRadicals\gen_code\temp_gen_edb916ce.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 缺少 Docstring/TypeHint (-2.0); 全部成功 (平均 0.00s) | Perf: 65.26s | Tokens: In=586, Out=1462 | Fix: [Bare] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PENDING | GenRun:2",,,,586,1462,11415,65260,0,0,0,0,0
910abe42-92f2-4936-bdbc-000da44cb6bf,2026-02-23T11:50:27.115365,gemini-3-flash,jh_數學2上_FourOperationsOfRadicals,1,3,,,,0,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Exception: AI request timed out after 300 seconds,,,,0,0,0,0,0,0,0,0,0
97622d06-e355-4716-a89d-f5cd19727924,2026-02-23T03:51:52.026517+00:00,gemini-3-flash,jh_數學2上_FourOperationsOfRadicals,1,3,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,13.0,5.5,7.5,15.0,7.5,7.5,18.0,10.0,8.0,29.0,5.0,4.0,5.0,24.0,8.0,917.0,1.0,38.5,47.0,10.5,5.0,85.5,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學2上_FourOperationsOfRadicals\gen_code\temp_gen_c4e8f74a.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 缺少 Docstring/TypeHint (-2.0); 全部成功 (平均 0.00s) | Perf: 82.85s | Tokens: In=586, Out=1023 | Fix: [Bare] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PENDING | GenRun:4",,,,586,1023,13666,82851,0,0,0,0,0
61617037-f5ec-4e1e-8b97-94674456afd0,2026-02-23T04:01:36.341932+00:00,gemini-3-flash,jh_數學2上_FourOperationsOfRadicals,1,3,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,13.0,5.5,7.5,15.0,7.5,7.5,13.0,10.0,3.0,25.11,5.0,4.0,5.0,13.33,3.33,455.0,2.0,38.5,38.11,10.5,4.44,76.61,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學2上_FourOperationsOfRadicals\gen_code\temp_gen_09a73fd3.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 缺少 Docstring/TypeHint (-2.0); 全部成功 (平均 0.00s) | Perf: 276.69s | Tokens: In=586, Out=607 | Fix: [Bare] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PENDING | GenRun:5",,,,586,607,64103,276687,0,0,0,0,0
