summary_id,skill_name,ablation_id,model_name,sample_count,total_runs,mean_mcri_total,std_mcri_total,ci95_lower,ci95_upper,mean_l3_external,mean_l4_numeric,mean_program_total,mean_math_total,mean_l5_architecture,mean_l4_mqi,p_value_vs_ab1,notes
a72cf1cd-7bf1-4d94-a410-8aa7817e1742,jh_數學2上_FourOperationsOfRadicals,1,gemini-3-flash,15,33,59.97,37.54,39.18,80.75,4.24,3.67,28.23,31.73,7.7,3.58,,-
4add08c9-2fe5-47d9-9426-44a74a10e36d,jh_數學2上_FourOperationsOfRadicals,2,gemini-3-flash,15,45,91.72,3.1,90.0,93.44,6.42,5.0,47.0,44.72,17.0,4.81,0.002887,Ab2 vs Ab1: p<0.01 (顯著)
835e2a05-ce53-4aaa-8a10-d2526f021941,jh_數學2上_FourOperationsOfRadicals,3,gemini-3-flash,15,45,93.43,3.6,91.44,95.42,6.2,5.0,50.0,43.43,20.0,4.7,0.001856,Ab3 vs Ab1: p<0.01 (顯著)
aaeff224-b88b-4ea0-8b0b-f3e8c4081da3,jh_數學2上_FourOperationsOfRadicals,1,qwen3-14b,15,45,55.96,32.63,37.89,74.03,4.13,3.0,29.07,26.89,10.1,2.96,,-
01267875-fccc-4d56-a2fb-1e61599c62e1,jh_數學2上_FourOperationsOfRadicals,2,qwen3-14b,15,45,93.62,1.05,93.04,94.2,7.89,5.0,47.0,46.62,17.0,5.0,0.000118,Ab2 vs Ab1: p<0.001 (高度顯著)
410c879a-df4f-427f-9f25-8803a4aa6417,jh_數學2上_FourOperationsOfRadicals,3,qwen3-14b,15,45,97.0,0.0,nan,nan,8.0,5.0,50.0,47.0,20.0,5.0,3.9e-05,Ab3 vs Ab1: p<0.001 (高度顯著)
