summary_id,skill_name,ablation_id,model_name,sample_count,total_runs,mean_mcri_total,std_mcri_total,ci95_lower,ci95_upper,mean_l3_external,mean_l4_numeric,mean_program_total,mean_math_total,mean_l5_architecture,mean_l4_mqi,p_value_vs_ab1,notes
faa813b1-7bf8-4b38-a7eb-28424ca64b1e,jh_數學1上_FourArithmeticOperationsOfIntegers,1,gemini-3-flash,15,45,73.3,0.65,72.94,73.66,10.0,4.93,37.87,35.44,9.87,2.5,,-
d9f25f11-b9e7-49ab-84ef-dbfa0d2b8687,jh_數學1上_FourArithmeticOperationsOfIntegers,2,gemini-3-flash,15,45,94.75,0.29,94.59,94.91,10.0,4.91,47.0,47.75,17.0,4.84,0.0,Ab2 vs Ab1: p<0.001 (高度顯著)
3c8da4c5-91b6-48ad-976b-98dd336cd0d9,jh_數學1上_FourArithmeticOperationsOfIntegers,3,gemini-3-flash,15,45,97.69,0.36,97.49,97.89,10.0,4.93,50.0,47.69,20.0,4.8,0.0,Ab3 vs Ab1: p<0.001 (高度顯著)
bfa4647f-5784-404f-8bb1-9768207351eb,jh_數學1上_FourArithmeticOperationsOfIntegers,1,qwen3-14b,15,12,9.92,21.9,-2.21,22.05,0.4,0.67,6.33,3.58,2.37,0.25,,-
6e664933-5269-46af-b4a0-41320bb4ee37,jh_數學1上_FourArithmeticOperationsOfIntegers,2,qwen3-14b,15,45,94.86,0.19,94.75,94.97,10.0,4.98,47.0,47.86,17.0,4.88,0.0,Ab2 vs Ab1: p<0.001 (高度顯著)
ba526ba5-9675-453b-9219-20aa66d44d30,jh_數學1上_FourArithmeticOperationsOfIntegers,3,qwen3-14b,15,45,97.82,0.24,97.69,97.96,10.0,4.98,50.0,47.82,20.0,4.84,0.0,Ab3 vs Ab1: p<0.001 (高度顯著)
0ce6df33-2e88-4293-ae77-37ee690b7ac9,jh_數學1上_FourArithmeticOperationsOfIntegers,1,qwen3-8b,15,3,0.73,2.84,-0.84,2.31,0.0,0.0,0.73,0.0,0.53,0.0,,-
82f5e0cc-118a-47c4-ab83-11db19632d95,jh_數學1上_FourArithmeticOperationsOfIntegers,2,qwen3-8b,15,27,56.91,48.1,30.27,83.55,6.0,2.98,28.2,28.71,10.2,2.93,0.000104,Ab2 vs Ab1: p<0.001 (高度顯著)
d4669991-4468-4462-a179-50d4c195656c,jh_數學1上_FourArithmeticOperationsOfIntegers,3,qwen3-8b,15,45,76.92,30.68,59.93,93.91,6.67,3.33,45.0,31.92,20.0,3.25,0.0,Ab3 vs Ab1: p<0.001 (高度顯著)
