summary_id,skill_name,ablation_id,model_name,sample_count,total_runs,mean_mcri_total,std_mcri_total,ci95_lower,ci95_upper,mean_l3_external,mean_l4_numeric,mean_program_total,mean_math_total,mean_l5_architecture,mean_l4_mqi,p_value_vs_ab1,notes
Gemini_3_flash_jh_數學2上_FourOperationsOfRadicals_ab1,jh_數學2上_FourOperationsOfRadicals,1,Gemini_3_flash,3,15,53.16,39.22,33.32,73.01,3.22,3.2,25.6,27.56,6.93,3.14,,-
Gemini_3_flash_jh_數學2上_FourOperationsOfRadicals_ab2,jh_數學2上_FourOperationsOfRadicals,2,Gemini_3_flash,3,15,94.0,0.0,94.0,94.0,8.0,5.0,47.0,47.0,17.0,5.0,0.0012339786038637476,Ab2 vs Ab1: p=0.0012 (Significant)
Gemini_3_flash_jh_數學2上_FourOperationsOfRadicals_ab3,jh_數學2上_FourOperationsOfRadicals,3,Gemini_3_flash,3,15,96.96,0.17,96.87,97.04,8.0,5.0,50.0,46.96,20.0,5.0,0.0006993205820967467,Ab3 vs Ab1: p<0.001 (Highly Significant)
Qwen3_14B_jh_數學2上_FourOperationsOfRadicals_ab1,jh_數學2上_FourOperationsOfRadicals,1,Qwen3_14B,3,15,42.83,36.94,24.13,61.52,3.4,2.13,22.7,20.13,8.33,2.33,,-
Qwen3_14B_jh_數學2上_FourOperationsOfRadicals_ab2,jh_數學2上_FourOperationsOfRadicals,2,Qwen3_14B,3,15,93.82,0.53,93.55,94.09,8.0,5.0,47.0,46.82,17.0,5.0,0.00010305203758161446,Ab2 vs Ab1: p<0.001 (Highly Significant)
Qwen3_14B_jh_數學2上_FourOperationsOfRadicals_ab3,jh_數學2上_FourOperationsOfRadicals,3,Qwen3_14B,3,15,96.62,1.05,96.09,97.15,7.89,5.0,50.0,46.62,20.0,5.0,6.08488973865261e-05,Ab3 vs Ab1: p<0.001 (Highly Significant)
Qwen3_8B_jh_數學2上_FourOperationsOfRadicals_ab1,jh_數學2上_FourOperationsOfRadicals,1,Qwen3_8B,3,15,39.91,42.27,18.52,61.3,3.73,1.84,18.73,21.18,5.53,2.33,,-
Qwen3_8B_jh_數學2上_FourOperationsOfRadicals_ab2,jh_數學2上_FourOperationsOfRadicals,2,Qwen3_8B,3,15,94.0,0.0,94.0,94.0,8.0,5.0,47.0,47.0,17.0,5.0,0.0002110083644624936,Ab2 vs Ab1: p<0.001 (Highly Significant)
Qwen3_8B_jh_數學2上_FourOperationsOfRadicals_ab3,jh_數學2上_FourOperationsOfRadicals,3,Qwen3_8B,3,15,96.76,0.95,96.28,97.23,7.89,5.0,50.0,46.76,20.0,5.0,0.00013236036618060798,Ab3 vs Ab1: p<0.001 (Highly Significant)
