run_id,timestamp,model_name,skill_name,ablation_id,sample_index,code_commit_hash,python_version,mcri_version,model_temperature,repetitions_planned,repetitions_completed,fail_count,pass_rate,avg_exec_time,score_l1_total,score_l1_1_syntax,score_l1_2_runtime,score_l2_total,score_l2_1_contract,score_l2_2_purity,avg_l3_total,avg_l3_1_internal,avg_l3_2_external,avg_l4_total,avg_l4_1_numeric,avg_l4_2_visual,avg_l4_3_artifacts,avg_complexity_math_ops,avg_complexity_inference_steps,avg_complexity_ast_nodes,avg_complexity_loop_depth,score_program_total,score_math_total,score_l5_architecture,avg_l4_4_mqi,avg_mcri_total,source_code_path,notes,batch_id,golden_prompt_path,prompt_hash,prompt_tokens,completion_tokens,total_tokens,latency_ms,healer_applied,healer_fix_count
43d5e2b3-c580-4ffe-b5cd-95e4394f4063,2026-02-18T07:47:36.181500+00:00,unknown,jh_數學1上_FourArithmeticOperationsOfIntegers,2,0,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,13.5,6.0,7.5,20.0,10.0,10.0,21.92,5.0,3.0,5.0,13.33,5.0,3497.0,1.0,45.5,41.92,17.0,2.67,87.42,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_bf14f82e.py,L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | GenRun:1,,,,0,0,0,0,1,1
21cffe3e-c26b-427b-8cde-a0446d01d6d1,2026-02-18T07:48:31.620645+00:00,unknown,jh_數學1上_FourArithmeticOperationsOfIntegers,2,0,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,13.5,6.0,7.5,20.0,10.0,10.0,21.85,5.0,3.0,5.0,13.0,5.0,3492.0,1.0,45.5,41.85,17.0,2.6,87.35,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_d42d0fa5.py,L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | GenRun:2,,,,0,0,0,0,1,1
484bf33a-e63b-4dec-840a-87a590a6f935,2026-02-18T07:49:18.269667+00:00,unknown,jh_數學1上_FourArithmeticOperationsOfIntegers,2,0,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,13.5,6.0,7.5,20.0,10.0,10.0,22.18,5.0,3.0,5.0,14.67,5.0,3443.0,1.0,45.5,42.18,17.0,2.93,87.68,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_236f0aa8.py,L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | GenRun:3,,,,0,0,0,0,1,1
cd34c4ac-2130-4346-9208-00e52ea9edce,2026-02-18T07:50:03.097521+00:00,unknown,jh_數學1上_FourArithmeticOperationsOfIntegers,2,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,13.5,6.0,7.5,20.0,10.0,10.0,23.83,5.0,3.0,5.0,16.67,6.0,3443.0,1.0,45.5,43.83,17.0,3.33,89.33,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_b4714098.py,L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | GenRun:1,,,,0,0,0,0,1,1
8a10c863-6ad7-409d-b46d-10cede481403,2026-02-18T07:51:00.283710+00:00,unknown,jh_數學1上_FourArithmeticOperationsOfIntegers,2,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,13.5,6.0,7.5,20.0,10.0,10.0,23.9,5.0,3.0,5.0,17.0,6.0,3492.0,1.0,45.5,43.9,17.0,3.4,89.4,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_99dd2f58.py,L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | GenRun:2,,,,0,0,0,0,1,1
ef28847e-0ab1-4386-b091-d8b25048a431,2026-02-18T07:51:50.984960+00:00,unknown,jh_數學1上_FourArithmeticOperationsOfIntegers,2,1,,3.14.0,6.4,0.7,3,3,0,0.0,0.0,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,0.0,17.0,0.0,24.5,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_cb47489e.py,L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; Rep1 失敗: NameError; Rep2 失敗: NameError; Rep3 失敗: NameError; 成功 0/3 次 | GenRun:3,,,,0,0,0,0,1,1
8666e86f-beab-4472-bc9e-98b160cacf87,2026-02-18T07:52:43.084564+00:00,unknown,jh_數學1上_FourArithmeticOperationsOfIntegers,2,2,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,13.5,6.0,7.5,20.0,10.0,10.0,22.52,5.0,3.0,5.0,16.33,5.0,3443.0,1.0,45.5,42.52,17.0,3.27,88.02,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_4821339c.py,L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | GenRun:1,,,,0,0,0,0,1,1
9e668614-4142-4b23-849b-d23b5f08c8fe,2026-02-18T07:53:36.210126+00:00,unknown,jh_數學1上_FourArithmeticOperationsOfIntegers,2,2,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,13.5,6.0,7.5,20.0,10.0,10.0,22.92,5.0,3.0,5.0,18.33,5.0,3443.0,1.0,45.5,42.92,17.0,3.67,88.42,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_dc012ddb.py,L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | GenRun:2,,,,0,0,0,0,1,1
b752d6f6-7aac-46ea-8146-6faabdc212c5,2026-02-18T07:54:25.432802+00:00,unknown,jh_數學1上_FourArithmeticOperationsOfIntegers,2,2,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,13.5,6.0,7.5,20.0,10.0,10.0,22.52,4.67,3.0,5.0,18.0,5.0,3497.0,1.0,45.5,42.52,17.0,3.6,88.02,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_1913ebd3.py,L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | GenRun:3,,,,0,0,0,0,1,1
